@relation doenca
  
@attribute temperaturas {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}
@attribute umidade {100, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, <90}
@attribute manchas {Sim, Nao}
@attribute chuva {Sim, Nao}
@attribute doenca {Sim, Nao}
  
@data
34,100,Sim,Sim,Nao
34,100,Nao,Sim,Nao
35,100,Nao,Nao,Nao
35,100,Sim,Nao,Nao
35,100,Sim,Sim,Nao
35,100,Nao,Sim,Nao
36,100,Nao,Nao,Nao
36,100,Sim,Nao,Nao
36,100,Sim,Sim,Nao
36,100,Nao,Sim,Nao
37,100,Nao,Nao,Nao
37,100,Sim,Nao,Nao
37,100,Sim,Sim,Nao
37,100,Nao,Sim,Nao
38,100,Nao,Nao,Nao
38,100,Sim,Nao,Nao
38,100,Sim,Sim,Nao
38,100,Nao,Sim,Nao
39,100,Nao,Nao,Nao
39,100,Sim,Nao,Nao
39,100,Sim,Sim,Nao
39,100,Nao,Sim,Nao
40,100,Nao,Nao,Nao
40,100,Sim,Nao,Nao
40,100,Sim,Sim,Nao
40,100,Nao,Sim,Nao
1,99,Nao,Nao,Nao
1,99,Sim,Nao,Nao
1,99,Sim,Sim,Nao
1,99,Nao,Sim,Nao
2,99,Nao,Nao,Nao
2,99,Sim,Nao,Nao
2,99,Sim,Sim,Nao
2,99,Nao,Sim,Nao
3,99,Nao,Nao,Nao
3,99,Sim,Nao,Nao
3,99,Sim,Sim,Nao
3,99,Nao,Sim,Nao
4,99,Nao,Nao,Nao
4,99,Sim,Nao,Nao
4,99,Sim,Sim,Nao
4,99,Nao,Sim,Nao
5,99,Nao,Nao,Nao
5,99,Sim,Nao,Nao
5,99,Sim,Sim,Nao
5,99,Nao,Sim,Nao
6,99,Nao,Nao,Nao
6,99,Sim,Nao,Nao
6,99,Sim,Sim,Nao
6,99,Nao,Sim,Nao
7,99,Nao,Nao,Nao
7,99,Sim,Nao,Nao
7,99,Sim,Sim,Nao
7,99,Nao,Sim,Nao
8,99,Nao,Nao,Nao
8,99,Sim,Nao,Nao
8,99,Sim,Sim,Nao
8,99,Nao,Sim,Nao
9,99,Nao,Nao,Nao
9,99,Sim,Nao,Nao
9,99,Sim,Sim,Nao
9,99,Nao,Sim,Nao
10,99,Nao,Nao,Nao
10,99,Sim,Nao,Nao
10,99,Sim,Sim,Nao
10,99,Nao,Sim,Nao
11,99,Nao,Nao,Nao
11,99,Sim,Nao,Nao
11,99,Sim,Sim,Nao
11,99,Nao,Sim,Nao
21,99,Nao,Nao,Nao
21,99,Sim,Nao,Nao
21,99,Sim,Sim,Nao
21,99,Nao,Sim,Nao
22,99,Nao,Nao,Nao
22,99,Sim,Nao,Nao
22,99,Sim,Sim,Nao
22,99,Nao,Sim,Nao
23,99,Nao,Nao,Nao
23,99,Sim,Nao,Nao
23,99,Sim,Sim,Nao
23,99,Nao,Sim,Nao
24,99,Nao,Nao,Nao
24,99,Sim,Nao,Nao
24,99,Sim,Sim,Nao
24,99,Nao,Sim,Nao
25,99,Nao,Nao,Nao
25,99,Sim,Nao,Nao
25,99,Sim,Sim,Nao
25,99,Nao,Sim,Nao
26,99,Nao,Nao,Nao
26,99,Sim,Nao,Nao
26,99,Sim,Sim,Nao
26,99,Nao,Sim,Nao
27,99,Nao,Nao,Nao
27,99,Sim,Nao,Nao
27,99,Sim,Sim,Nao
27,99,Nao,Sim,Nao
28,99,Nao,Nao,Nao
28,99,Sim,Nao,Nao
28,99,Sim,Sim,Nao
28,99,Nao,Sim,Nao
29,99,Nao,Nao,Nao
29,99,Sim,Nao,Nao
29,99,Sim,Sim,Nao
29,99,Nao,Sim,Nao
30,99,Nao,Nao,Nao
30,99,Sim,Nao,Nao
30,99,Sim,Sim,Nao
30,99,Nao,Sim,Nao
31,99,Nao,Nao,Nao
31,99,Sim,Nao,Nao
31,99,Sim,Sim,Nao
31,99,Nao,Sim,Nao
32,99,Nao,Nao,Nao
32,99,Sim,Nao,Nao
32,99,Sim,Sim,Nao
32,99,Nao,Sim,Nao
33,99,Nao,Nao,Nao
33,99,Sim,Nao,Nao
33,99,Sim,Sim,Nao
33,99,Nao,Sim,Nao
34,99,Nao,Nao,Nao
34,99,Sim,Nao,Nao
34,99,Sim,Sim,Nao
34,99,Nao,Sim,Nao
35,99,Nao,Nao,Nao
35,99,Sim,Nao,Nao
35,99,Sim,Sim,Nao
35,99,Nao,Sim,Nao
36,99,Nao,Nao,Nao
36,99,Sim,Nao,Nao
36,99,Sim,Sim,Nao
36,99,Nao,Sim,Nao
37,99,Nao,Nao,Nao
37,99,Sim,Nao,Nao
37,99,Sim,Sim,Nao
37,99,Nao,Sim,Nao
38,99,Nao,Nao,Nao
38,99,Sim,Nao,Nao
38,99,Sim,Sim,Nao
38,99,Nao,Sim,Nao
39,99,Nao,Nao,Nao
39,99,Sim,Nao,Nao
39,99,Sim,Sim,Nao
39,99,Nao,Sim,Nao
40,99,Nao,Nao,Nao
40,99,Sim,Nao,Nao
40,99,Sim,Sim,Nao
40,99,Nao,Sim,Nao
1,98,Nao,Nao,Nao
1,98,Sim,Nao,Nao
1,98,Sim,Sim,Nao
1,98,Nao,Sim,Nao
2,98,Nao,Nao,Nao
2,98,Sim,Nao,Nao
2,98,Sim,Sim,Nao
2,98,Nao,Sim,Nao
3,98,Nao,Nao,Nao
3,98,Sim,Nao,Nao
3,98,Sim,Sim,Nao
3,98,Nao,Sim,Nao
4,98,Nao,Nao,Nao
4,98,Sim,Nao,Nao
4,98,Sim,Sim,Nao
4,98,Nao,Sim,Nao
5,98,Nao,Nao,Nao
5,98,Sim,Nao,Nao
5,98,Sim,Sim,Nao
5,98,Nao,Sim,Nao
6,98,Nao,Nao,Nao
6,98,Sim,Nao,Nao
6,98,Sim,Sim,Nao
6,98,Nao,Sim,Nao
7,98,Nao,Nao,Nao
7,98,Sim,Nao,Nao
7,98,Sim,Sim,Nao
7,98,Nao,Sim,Nao
8,98,Nao,Nao,Nao
8,98,Sim,Nao,Nao
8,98,Sim,Sim,Nao
8,98,Nao,Sim,Nao
9,98,Nao,Nao,Nao
9,98,Sim,Nao,Nao
9,98,Sim,Sim,Nao
9,98,Nao,Sim,Nao
10,98,Nao,Nao,Nao
10,98,Sim,Nao,Nao
10,98,Sim,Sim,Nao
10,98,Nao,Sim,Nao
11,98,Nao,Nao,Nao
11,98,Sim,Nao,Nao
11,98,Sim,Sim,Nao
11,98,Nao,Sim,Nao
21,98,Nao,Nao,Nao
21,98,Sim,Nao,Nao
21,98,Sim,Sim,Nao
21,98,Nao,Sim,Nao
22,98,Nao,Nao,Nao
22,98,Sim,Nao,Nao
22,98,Sim,Sim,Nao
22,98,Nao,Sim,Nao
23,98,Nao,Nao,Nao
23,98,Sim,Nao,Nao
23,98,Sim,Sim,Nao
23,98,Nao,Sim,Nao
24,98,Nao,Nao,Nao
24,98,Sim,Nao,Nao
24,98,Sim,Sim,Nao
24,98,Nao,Sim,Nao
25,98,Nao,Nao,Nao
25,98,Sim,Nao,Nao
25,98,Sim,Sim,Nao
25,98,Nao,Sim,Nao
26,98,Nao,Nao,Nao
26,98,Sim,Nao,Nao
26,98,Sim,Sim,Nao
26,98,Nao,Sim,Nao
27,98,Nao,Nao,Nao
27,98,Sim,Nao,Nao
27,98,Sim,Sim,Nao
27,98,Nao,Sim,Nao
28,98,Nao,Nao,Nao
28,98,Sim,Nao,Nao
28,98,Sim,Sim,Nao
28,98,Nao,Sim,Nao
29,98,Nao,Nao,Nao
29,98,Sim,Nao,Nao
29,98,Sim,Sim,Nao
29,98,Nao,Sim,Nao
30,98,Nao,Nao,Nao
30,98,Sim,Nao,Nao
30,98,Sim,Sim,Nao
30,98,Nao,Sim,Nao
31,98,Nao,Nao,Nao
31,98,Sim,Nao,Nao
31,98,Sim,Sim,Nao
31,98,Nao,Sim,Nao
32,98,Nao,Nao,Nao
32,98,Sim,Nao,Nao
32,98,Sim,Sim,Nao
32,98,Nao,Sim,Nao
33,98,Nao,Nao,Nao
33,98,Sim,Nao,Nao
33,98,Sim,Sim,Nao
33,98,Nao,Sim,Nao
34,98,Nao,Nao,Nao
34,98,Sim,Nao,Nao
34,98,Sim,Sim,Nao
34,98,Nao,Sim,Nao
35,98,Nao,Nao,Nao
35,98,Sim,Nao,Nao
35,98,Sim,Sim,Nao
35,98,Nao,Sim,Nao
36,98,Nao,Nao,Nao
36,98,Sim,Nao,Nao
36,98,Sim,Sim,Nao
36,98,Nao,Sim,Nao
37,98,Nao,Nao,Nao
37,98,Sim,Nao,Nao
37,98,Sim,Sim,Nao
37,98,Nao,Sim,Nao
38,98,Nao,Nao,Nao
38,98,Sim,Nao,Nao
38,98,Sim,Sim,Nao
38,98,Nao,Sim,Nao
39,98,Nao,Nao,Nao
39,98,Sim,Nao,Nao
39,98,Sim,Sim,Nao
39,98,Nao,Sim,Nao
40,98,Nao,Nao,Nao
40,98,Sim,Nao,Nao
40,98,Sim,Sim,Nao
40,98,Nao,Sim,Nao
1,97,Nao,Nao,Nao
1,97,Sim,Nao,Nao
1,97,Sim,Sim,Nao
1,97,Nao,Sim,Nao
2,97,Nao,Nao,Nao
2,97,Sim,Nao,Nao
2,97,Sim,Sim,Nao
2,97,Nao,Sim,Nao
3,97,Nao,Nao,Nao
3,97,Sim,Nao,Nao
3,97,Sim,Sim,Nao
3,97,Nao,Sim,Nao
4,97,Nao,Nao,Nao
4,97,Sim,Nao,Nao
4,97,Sim,Sim,Nao
4,97,Nao,Sim,Nao
5,97,Nao,Nao,Nao
5,97,Sim,Nao,Nao
5,97,Sim,Sim,Nao
5,97,Nao,Sim,Nao
6,97,Nao,Nao,Nao
6,97,Sim,Nao,Nao
6,97,Sim,Sim,Nao
6,97,Nao,Sim,Nao
7,97,Nao,Nao,Nao
7,97,Sim,Nao,Nao
7,97,Sim,Sim,Nao
7,97,Nao,Sim,Nao
8,97,Nao,Nao,Nao
8,97,Sim,Nao,Nao
8,97,Sim,Sim,Nao
8,97,Nao,Sim,Nao
9,97,Nao,Nao,Nao
9,97,Sim,Nao,Nao
9,97,Sim,Sim,Nao
9,97,Nao,Sim,Nao
10,97,Nao,Nao,Nao
10,97,Sim,Nao,Nao
10,97,Sim,Sim,Nao
10,97,Nao,Sim,Nao
11,97,Nao,Nao,Nao
11,97,Sim,Nao,Nao
11,97,Sim,Sim,Nao
11,97,Nao,Sim,Nao
21,97,Nao,Nao,Nao
21,97,Sim,Nao,Nao
21,97,Sim,Sim,Nao
21,97,Nao,Sim,Nao
22,97,Nao,Nao,Nao
22,97,Sim,Nao,Nao
22,97,Sim,Sim,Nao
22,97,Nao,Sim,Nao
23,97,Nao,Nao,Nao
23,97,Sim,Nao,Nao
23,97,Sim,Sim,Nao
23,97,Nao,Sim,Nao
24,97,Nao,Nao,Nao
24,97,Sim,Nao,Nao
24,97,Sim,Sim,Nao
24,97,Nao,Sim,Nao
25,97,Nao,Nao,Nao
25,97,Sim,Nao,Nao
25,97,Sim,Sim,Nao
25,97,Nao,Sim,Nao
26,97,Nao,Nao,Nao
26,97,Sim,Nao,Nao
26,97,Sim,Sim,Nao
26,97,Nao,Sim,Nao
27,97,Nao,Nao,Nao
27,97,Sim,Nao,Nao
27,97,Sim,Sim,Nao
27,97,Nao,Sim,Nao
28,97,Nao,Nao,Nao
28,97,Sim,Nao,Nao
28,97,Sim,Sim,Nao
28,97,Nao,Sim,Nao
29,97,Nao,Nao,Nao
29,97,Sim,Nao,Nao
29,97,Sim,Sim,Nao
29,97,Nao,Sim,Nao
30,97,Nao,Nao,Nao
30,97,Sim,Nao,Nao
30,97,Sim,Sim,Nao
30,97,Nao,Sim,Nao
31,97,Nao,Nao,Nao
31,97,Sim,Nao,Nao
31,97,Sim,Sim,Nao
31,97,Nao,Sim,Nao
32,97,Nao,Nao,Nao
32,97,Sim,Nao,Nao
32,97,Sim,Sim,Nao
32,97,Nao,Sim,Nao
33,97,Nao,Nao,Nao
33,97,Sim,Nao,Nao
33,97,Sim,Sim,Nao
33,97,Nao,Sim,Nao
34,97,Nao,Nao,Nao
34,97,Sim,Nao,Nao
34,97,Sim,Sim,Nao
34,97,Nao,Sim,Nao
35,97,Nao,Nao,Nao
35,97,Sim,Nao,Nao
35,97,Sim,Sim,Nao
35,97,Nao,Sim,Nao
36,97,Nao,Nao,Nao
36,97,Sim,Nao,Nao
36,97,Sim,Sim,Nao
36,97,Nao,Sim,Nao
37,97,Nao,Nao,Nao
37,97,Sim,Nao,Nao
37,97,Sim,Sim,Nao
37,97,Nao,Sim,Nao
38,97,Nao,Nao,Nao
38,97,Sim,Nao,Nao
38,97,Sim,Sim,Nao
38,97,Nao,Sim,Nao
39,97,Nao,Nao,Nao
39,97,Sim,Nao,Nao
39,97,Sim,Sim,Nao
39,97,Nao,Sim,Nao
40,97,Nao,Nao,Nao
40,97,Sim,Nao,Nao
40,97,Sim,Sim,Nao
40,97,Nao,Sim,Nao
1,96,Nao,Nao,Nao
1,96,Sim,Nao,Nao
1,96,Sim,Sim,Nao
1,96,Nao,Sim,Nao
2,96,Nao,Nao,Nao
2,96,Sim,Nao,Nao
2,96,Sim,Sim,Nao
2,96,Nao,Sim,Nao
3,96,Nao,Nao,Nao
3,96,Sim,Nao,Nao
3,96,Sim,Sim,Nao
3,96,Nao,Sim,Nao
4,96,Nao,Nao,Nao
4,96,Sim,Nao,Nao
4,96,Sim,Sim,Nao
4,96,Nao,Sim,Nao
5,96,Nao,Nao,Nao
5,96,Sim,Nao,Nao
5,96,Sim,Sim,Nao
5,96,Nao,Sim,Nao
6,96,Nao,Nao,Nao
6,96,Sim,Nao,Nao
6,96,Sim,Sim,Nao
6,96,Nao,Sim,Nao
7,96,Nao,Nao,Nao
7,96,Sim,Nao,Nao
7,96,Sim,Sim,Nao
7,96,Nao,Sim,Nao
8,96,Nao,Nao,Nao
8,96,Sim,Nao,Nao
8,96,Sim,Sim,Nao
8,96,Nao,Sim,Nao
9,96,Nao,Nao,Nao
9,96,Sim,Nao,Nao
9,96,Sim,Sim,Nao
9,96,Nao,Sim,Nao
10,96,Nao,Nao,Nao
10,96,Sim,Nao,Nao
10,96,Sim,Sim,Nao
10,96,Nao,Sim,Nao
11,96,Nao,Nao,Nao
11,96,Sim,Nao,Nao
11,96,Sim,Sim,Nao
11,96,Nao,Sim,Nao
21,96,Nao,Nao,Nao
21,96,Sim,Nao,Nao
21,96,Sim,Sim,Nao
21,96,Nao,Sim,Nao
22,96,Nao,Nao,Nao
22,96,Sim,Nao,Nao
22,96,Sim,Sim,Nao
22,96,Nao,Sim,Nao
23,96,Nao,Nao,Nao
23,96,Sim,Nao,Nao
23,96,Sim,Sim,Nao
23,96,Nao,Sim,Nao
24,96,Nao,Nao,Nao
24,96,Sim,Nao,Nao
24,96,Sim,Sim,Nao
24,96,Nao,Sim,Nao
25,96,Nao,Nao,Nao
25,96,Sim,Nao,Nao
25,96,Sim,Sim,Nao
25,96,Nao,Sim,Nao
26,96,Nao,Nao,Nao
26,96,Sim,Nao,Nao
26,96,Sim,Sim,Nao
26,96,Nao,Sim,Nao
27,96,Nao,Nao,Nao
27,96,Sim,Nao,Nao
27,96,Sim,Sim,Nao
27,96,Nao,Sim,Nao
28,96,Nao,Nao,Nao
28,96,Sim,Nao,Nao
28,96,Sim,Sim,Nao
28,96,Nao,Sim,Nao
29,96,Nao,Nao,Nao
29,96,Sim,Nao,Nao
29,96,Sim,Sim,Nao
29,96,Nao,Sim,Nao
30,96,Nao,Nao,Nao
30,96,Sim,Nao,Nao
30,96,Sim,Sim,Nao
30,96,Nao,Sim,Nao
31,96,Nao,Nao,Nao
31,96,Sim,Nao,Nao
31,96,Sim,Sim,Nao
31,96,Nao,Sim,Nao
32,96,Nao,Nao,Nao
32,96,Sim,Nao,Nao
32,96,Sim,Sim,Nao
32,96,Nao,Sim,Nao
33,96,Nao,Nao,Nao
33,96,Sim,Nao,Nao
33,96,Sim,Sim,Nao
33,96,Nao,Sim,Nao
34,96,Nao,Nao,Nao
34,96,Sim,Nao,Nao
34,96,Sim,Sim,Nao
34,96,Nao,Sim,Nao
35,96,Nao,Nao,Nao
35,96,Sim,Nao,Nao
35,96,Sim,Sim,Nao
35,96,Nao,Sim,Nao
36,96,Nao,Nao,Nao
36,96,Sim,Nao,Nao
36,96,Sim,Sim,Nao
36,96,Nao,Sim,Nao
37,96,Nao,Nao,Nao
37,96,Sim,Nao,Nao
37,96,Sim,Sim,Nao
37,96,Nao,Sim,Nao
38,96,Nao,Nao,Nao
38,96,Sim,Nao,Nao
38,96,Sim,Sim,Nao
38,96,Nao,Sim,Nao
39,96,Nao,Nao,Nao
39,96,Sim,Nao,Nao
39,96,Sim,Sim,Nao
39,96,Nao,Sim,Nao
40,96,Nao,Nao,Nao
40,96,Sim,Nao,Nao
40,96,Sim,Sim,Nao
40,96,Nao,Sim,Nao
1,95,Nao,Nao,Nao
1,95,Sim,Nao,Nao
1,95,Sim,Sim,Nao
1,95,Nao,Sim,Nao
2,95,Nao,Nao,Nao
2,95,Sim,Nao,Nao
2,95,Sim,Sim,Nao
2,95,Nao,Sim,Nao
3,95,Nao,Nao,Nao
3,95,Sim,Nao,Nao
3,95,Sim,Sim,Nao
3,95,Nao,Sim,Nao
4,95,Nao,Nao,Nao
4,95,Sim,Nao,Nao
4,95,Sim,Sim,Nao
4,95,Nao,Sim,Nao
5,95,Nao,Nao,Nao
5,95,Sim,Nao,Nao
5,95,Sim,Sim,Nao
5,95,Nao,Sim,Nao
6,95,Nao,Nao,Nao
6,95,Sim,Nao,Nao
6,95,Sim,Sim,Nao
6,95,Nao,Sim,Nao
7,95,Nao,Nao,Nao
7,95,Sim,Nao,Nao
7,95,Sim,Sim,Nao
7,95,Nao,Sim,Nao
8,95,Nao,Nao,Nao
8,95,Sim,Nao,Nao
8,95,Sim,Sim,Nao
8,95,Nao,Sim,Nao
9,95,Nao,Nao,Nao
9,95,Sim,Nao,Nao
9,95,Sim,Sim,Nao
9,95,Nao,Sim,Nao
10,95,Nao,Nao,Nao
10,95,Sim,Nao,Nao
10,95,Sim,Sim,Nao
10,95,Nao,Sim,Nao
11,95,Nao,Nao,Nao
11,95,Sim,Nao,Nao
11,95,Sim,Sim,Nao
11,95,Nao,Sim,Nao
21,95,Nao,Nao,Nao
21,95,Sim,Nao,Nao
21,95,Sim,Sim,Nao
21,95,Nao,Sim,Nao
22,95,Nao,Nao,Nao
22,95,Sim,Nao,Nao
22,95,Sim,Sim,Nao
22,95,Nao,Sim,Nao
23,95,Nao,Nao,Nao
23,95,Sim,Nao,Nao
23,95,Sim,Sim,Nao
23,95,Nao,Sim,Nao
24,95,Nao,Nao,Nao
24,95,Sim,Nao,Nao
24,95,Sim,Sim,Nao
24,95,Nao,Sim,Nao
25,95,Nao,Nao,Nao
25,95,Sim,Nao,Nao
25,95,Sim,Sim,Nao
25,95,Nao,Sim,Nao
26,95,Nao,Nao,Nao
26,95,Sim,Nao,Nao
26,95,Sim,Sim,Nao
26,95,Nao,Sim,Nao
27,95,Nao,Nao,Nao
27,95,Sim,Nao,Nao
27,95,Sim,Sim,Nao
27,95,Nao,Sim,Nao
28,95,Nao,Nao,Nao
28,95,Sim,Nao,Nao
28,95,Sim,Sim,Nao
28,95,Nao,Sim,Nao
29,95,Nao,Nao,Nao
29,95,Sim,Nao,Nao
29,95,Sim,Sim,Nao
29,95,Nao,Sim,Nao
30,95,Nao,Nao,Nao
30,95,Sim,Nao,Nao
30,95,Sim,Sim,Nao
30,95,Nao,Sim,Nao
31,95,Nao,Nao,Nao
31,95,Sim,Nao,Nao
31,95,Sim,Sim,Nao
31,95,Nao,Sim,Nao
32,95,Nao,Nao,Nao
32,95,Sim,Nao,Nao
32,95,Sim,Sim,Nao
32,95,Nao,Sim,Nao
33,95,Nao,Nao,Nao
33,95,Sim,Nao,Nao
33,95,Sim,Sim,Nao
33,95,Nao,Sim,Nao
34,95,Nao,Nao,Nao
34,95,Sim,Nao,Nao
34,95,Sim,Sim,Nao
34,95,Nao,Sim,Nao
35,95,Nao,Nao,Nao
35,95,Sim,Nao,Nao
35,95,Sim,Sim,Nao
35,95,Nao,Sim,Nao
36,95,Nao,Nao,Nao
36,95,Sim,Nao,Nao
36,95,Sim,Sim,Nao
36,95,Nao,Sim,Nao
37,95,Nao,Nao,Nao
37,95,Sim,Nao,Nao
37,95,Sim,Sim,Nao
37,95,Nao,Sim,Nao
38,95,Nao,Nao,Nao
38,95,Sim,Nao,Nao
38,95,Sim,Sim,Nao
38,95,Nao,Sim,Nao
39,95,Nao,Nao,Nao
39,95,Sim,Nao,Nao
39,95,Sim,Sim,Nao
39,95,Nao,Sim,Nao
40,95,Nao,Nao,Nao
40,95,Sim,Nao,Nao
40,95,Sim,Sim,Nao
40,95,Nao,Sim,Nao
1,94,Nao,Nao,Nao
1,94,Sim,Nao,Nao
1,94,Sim,Sim,Nao
1,94,Nao,Sim,Nao
2,94,Nao,Nao,Nao
2,94,Sim,Nao,Nao
2,94,Sim,Sim,Nao
2,94,Nao,Sim,Nao
3,94,Nao,Nao,Nao
3,94,Sim,Nao,Nao
3,94,Sim,Sim,Nao
3,94,Nao,Sim,Nao
4,94,Nao,Nao,Nao
4,94,Sim,Nao,Nao
4,94,Sim,Sim,Nao
4,94,Nao,Sim,Nao
5,94,Nao,Nao,Nao
5,94,Sim,Nao,Nao
5,94,Sim,Sim,Nao
5,94,Nao,Sim,Nao
6,94,Nao,Nao,Nao
6,94,Sim,Nao,Nao
6,94,Sim,Sim,Nao
6,94,Nao,Sim,Nao
7,94,Nao,Nao,Nao
7,94,Sim,Nao,Nao
7,94,Sim,Sim,Nao
7,94,Nao,Sim,Nao
8,94,Nao,Nao,Nao
8,94,Sim,Nao,Nao
8,94,Sim,Sim,Nao
8,94,Nao,Sim,Nao
9,94,Nao,Nao,Nao
9,94,Sim,Nao,Nao
9,94,Sim,Sim,Nao
9,94,Nao,Sim,Nao
10,94,Nao,Nao,Nao
10,94,Sim,Nao,Nao
10,94,Sim,Sim,Nao
10,94,Nao,Sim,Nao
11,94,Nao,Nao,Nao
11,94,Sim,Nao,Nao
11,94,Sim,Sim,Nao
11,94,Nao,Sim,Nao
21,94,Nao,Nao,Nao
21,94,Sim,Nao,Nao
21,94,Sim,Sim,Nao
21,94,Nao,Sim,Nao
22,94,Nao,Nao,Nao
22,94,Sim,Nao,Nao
22,94,Sim,Sim,Nao
22,94,Nao,Sim,Nao
23,94,Nao,Nao,Nao
23,94,Sim,Nao,Nao
23,94,Sim,Sim,Nao
23,94,Nao,Sim,Nao
24,94,Nao,Nao,Nao
24,94,Sim,Nao,Nao
24,94,Sim,Sim,Nao
24,94,Nao,Sim,Nao
25,94,Nao,Nao,Nao
25,94,Sim,Nao,Nao
25,94,Sim,Sim,Nao
25,94,Nao,Sim,Nao
26,94,Nao,Nao,Nao
26,94,Sim,Nao,Nao
26,94,Sim,Sim,Nao
26,94,Nao,Sim,Nao
27,94,Nao,Nao,Nao
27,94,Sim,Nao,Nao
27,94,Sim,Sim,Nao
27,94,Nao,Sim,Nao
28,94,Nao,Nao,Nao
28,94,Sim,Nao,Nao
28,94,Sim,Sim,Nao
28,94,Nao,Sim,Nao
29,94,Nao,Nao,Nao
29,94,Sim,Nao,Nao
29,94,Sim,Sim,Nao
29,94,Nao,Sim,Nao
30,94,Nao,Nao,Nao
30,94,Sim,Nao,Nao
30,94,Sim,Sim,Nao
30,94,Nao,Sim,Nao
31,94,Nao,Nao,Nao
31,94,Sim,Nao,Nao
31,94,Sim,Sim,Nao
31,94,Nao,Sim,Nao
32,94,Nao,Nao,Nao
32,94,Sim,Nao,Nao
32,94,Sim,Sim,Nao
32,94,Nao,Sim,Nao
33,94,Nao,Nao,Nao
33,94,Sim,Nao,Nao
33,94,Sim,Sim,Nao
33,94,Nao,Sim,Nao
34,94,Nao,Nao,Nao
34,94,Sim,Nao,Nao
34,94,Sim,Sim,Nao
34,94,Nao,Sim,Nao
35,94,Nao,Nao,Nao
